entity_type,entity_code,full_name,email,role,action
teacher,TCH-DUNG,Mr. Dũng,dung@mail.com,teacher,create
teacher,TCH-KHANG,Mr. Khang,khang@mail.com,teacher,create
teacher,TCH-MINH,Mr. Minh,minh@mail.com,teacher,create
teacher,TCH-NAM,Mr. Nam,nam@mail.com,teacher,create
teacher,TCH-PHONG,Mr. Phong,giaovien@gmail.com,teacher,link_or_skip_existing
teacher,TCH-THINH,Mr. Thịnh,thinh@mail.com,teacher,create
teacher,TCH-NHUNG,Ms. Nhung,nhung@mail.com,teacher,create
student,STU-HONG-MINH,Hồng Minh,hongminh@mail.com,student,create
student,STU-MICHAEL,Michael,michael@mail.com,student,create
student,STU-MINH,Minh,minh.hv@mail.com,student,create
student,STU-NGA,Nga,nga@mail.com,student,create
student,STU-NGAN,Ngân,ngan@mail.com,student,create
student,STU-NGHI,Nghi,nghi@mail.com,student,create
student,STU-NHAT,Nhật,nhat@mail.com,student,create
student,STU-PHAT,Phát,phat@mail.com,student,create
student,STU-QUAN,Quân,quan@mail.com,student,create
student,STU-QUOC-ANH,Quốc Anh,quocanh@mail.com,student,create
student,STU-QUOC-TIEN,Quốc Tiến,quoctien@mail.com,student,create
student,STU-THANH-DUC,Thành Đức,thanhduc@mail.com,student,create
student,STU-TUYET-MAI,Tuyết Mai,tuyetmai@mail.com,student,create
